,PESEL,Imię,Nazwisko,Płeć,Stanowisko,Adres,Data_zatrudnienia,Komisariat_FK
0,67071618828,Kornelia,Gierach,Kobieta,sierżant,"al. Truskawkowa 25/20
11-141 Sochaczew",1994-02-02,5
1,61032217884,Roksana,Zdonek,Kobieta,aspirant,"al. Torowa 312
27-401 Wrocław",2020-11-22,8
2,67091440063,Gaja,Misztela,Kobieta,komisarz,"plac Lotnicza 788
96-730 Racibórz",2011-05-08,4
3,73051128030,Alan,Otremba,Mężczyzna,funkcjonariusz,"aleja Wysoka 41/26
50-953 Wołomin",1997-10-08,5
4,33022221450,Michał,Dumin,Mężczyzna,sierżant,"ulica Kruczkowskiego 54/98
96-924 Wągrowiec",2003-08-16,2
5,47072460419,Grzegorz,Labocha,Mężczyzna,komisarz,"ul. Myśliwska 43/50
20-285 Jaworzno",1987-03-14,2
6,27112491739,Błażej,Subocz,Mężczyzna,funkcjonariusz,"al. Browarna 21
41-157 Wrocław",1990-08-02,0
7,55031216890,Rafał,Okła,Mężczyzna,sierżant,"plac Narcyzowa 36/23
93-049 Bełchatów",1995-10-02,9
8,24112261421,Anastazja,Sałuda,Kobieta,sierżant,"aleja Zielona 62
64-319 Kłodzko",1999-08-30,4
9,92101959943,Karina,Krzywoń,Kobieta,sierżant,"ul. Konstytucji 3 Maja 63
92-795 Ostrowiec Świętokrzyski",2023-07-30,1
10,28061839539,Marcel,Bela,Mężczyzna,funkcjonariusz,"al. Cegielniana 52/27
23-565 Tarnów",1996-05-09,1
11,57110291185,Ewelina,Elwart,Kobieta,komendant,"ul. Szafirowa 96/01
08-139 Nowy Dwór Mazowiecki",1992-06-22,1
12,23113079970,Damian,Cieciura,Mężczyzna,funkcjonariusz,"aleja Młyńska 00/14
48-855 Luboń",1996-01-28,5
13,71072786806,Lidia,Patrzałek,Kobieta,aspirant,"ulica Truskawkowa 312
57-701 Koszalin",2012-08-31,4
14,41072005164,Kalina,Szulist,Kobieta,inspektor,"al. Młynarska 76/33
73-954 Malbork",2000-10-12,2
15,41073195624,Anita,Burchard,Kobieta,komisarz,"al. Lelewela 41
49-825 Warszawa",2022-08-29,7
16,27012016975,Grzegorz,Kosowicz,Mężczyzna,nadkomisarz,"ul. Pszenna 29
41-612 Radom",2015-09-10,6
17,28112778844,Róża,Kabza,Kobieta,sierżant,"pl. Jarzębinowa 86/58
91-038 Czerwionka-Leszczyny",2020-11-05,2
18,68052249107,Ida,Becker,Kobieta,inspektor,"pl. Waryńskiego 72/45
22-963 Chojnice",2003-02-16,8
19,35012171017,Maksymilian,Żołądkiewicz,Mężczyzna,inspektor,"ul. Szmaragdowa 63/64
10-427 Jarosław",2000-03-14,0
20,57040476690,Gabriel,Kolber,Mężczyzna,inspektor,"pl. Jasna 75
20-231 Krotoszyn",2012-04-26,1
21,38121671889,Kaja,Trzpil,Kobieta,nadkomisarz,"pl. Akacjowa 96/59
84-606 Pruszcz Gdański",2002-08-07,4
22,32122624952,Adam,Ciesielczyk,Mężczyzna,komendant,"plac Wyzwolenia 26
20-733 Radomsko",2019-03-28,4
23,30070877893,Jacek,Larysz,Mężczyzna,funkcjonariusz,"plac Kaliska 78
50-939 Goleniów",1985-09-30,6
24,58052322157,Igor,Siemion,Mężczyzna,sierżant,"al. Widokowa 94
22-053 Ruda Śląska",1998-08-23,4
25,70061795306,Ewelina,Pieczyrak,Kobieta,sierżant,"plac Niepodległości 88/02
07-895 Głogów",2020-07-17,6
26,50073163915,Konstanty,Rok,Mężczyzna,inspektor,"plac Lelewela 129
86-575 Koło",2015-11-11,2
27,45011561524,Sandra,Orman,Kobieta,funkcjonariusz,"ulica Mieszka I 14/66
27-170 Włocławek",1990-01-08,9
28,50052464534,Arkadiusz,Teper,Mężczyzna,inspektor,"ul. Parkowa 423
56-757 Nysa",1991-01-29,0
29,61120206990,Jakub,Wacław,Mężczyzna,aspirant,"al. Wysoka 320
71-974 Żory",1996-02-22,6
30,43111397814,Tomasz,Wożniak,Mężczyzna,komendant,"ul. Narcyzowa 81/39
52-910 Świętochłowice",1986-07-24,3
31,44050714517,Norbert,Szafarz,Mężczyzna,inspektor,"plac Orla 228
57-224 Gniezno",2001-02-19,9
32,65111530419,Błażej,Jancewicz,Mężczyzna,aspirant,"ulica Wiślana 370
14-576 Gliwice",1992-03-04,7
33,58012240792,Artur,Wiciak,Mężczyzna,komisarz,"plac Reja 37/59
35-898 Siemianowice Śląskie",2000-10-23,5
34,87072628095,Norbert,Stoltman,Mężczyzna,aspirant,"ulica Skłodowskiej-Curie 03/91
64-013 Pruszcz Gdański",2023-07-26,8
35,64061807840,Sylwia,Matyka,Kobieta,funkcjonariusz,"ulica Królewska 65
57-228 Gdańsk",2001-03-24,0
36,72103053128,Lidia,Klisz,Kobieta,nadkomisarz,"pl. Witosa 430
40-310 Płock",2007-01-20,5
37,58072070137,Błażej,Sprycha,Mężczyzna,komisarz,"pl. Okrzei 24/59
22-204 Kutno",1986-09-03,3
38,32072682493,Paweł,Kadela,Mężczyzna,nadkomisarz,"al. Targowa 609
72-119 Bytom",1989-07-04,8
39,37052614237,Jerzy,Heba,Mężczyzna,sierżant,"plac Strzelecka 21
21-596 Czerwionka-Leszczyny",2010-01-15,1
40,73042146315,Sebastian,Pysz,Mężczyzna,inspektor,"aleja Listopada 83/34
15-420 Rzeszów",1999-11-19,7
41,65092835181,Kamila,Korkosz,Kobieta,komendant,"ulica Składowa 85
75-821 Rzeszów",1983-12-19,4
42,56082064661,Julita,Niedojadło,Kobieta,komendant,"ulica Kolejowa 25
49-143 Rybnik",1993-03-05,3
43,71033050852,Emil,Frycz,Mężczyzna,sierżant,"ul. Szeroka 83/30
56-642 Czechowice-Dziedzice",2009-04-26,8
44,53032886508,Tola,Klamka,Kobieta,aspirant,"pl. Torowa 28/63
65-682 Świętochłowice",2022-10-15,8
45,52070263483,Julita,Zdancewicz,Kobieta,aspirant,"ulica Podwale 80
51-909 Tychy",1990-06-11,2
46,57010167403,Karina,Gregorowicz,Kobieta,aspirant,"al. Tęczowa 24/81
88-372 Nowy Sącz",2018-09-22,9
47,67022472875,Adrian,Karpiak,Mężczyzna,funkcjonariusz,"ul. Narutowicza 269
23-519 Nowy Targ",1991-06-14,5
48,76010796527,Sylwia,Kijanka,Kobieta,sierżant,"pl. Spokojna 35/04
17-937 Piotrków Trybunalski",2004-04-13,2
49,35051424974,Mateusz,Grygo,Mężczyzna,aspirant,"plac Strumykowa 258
57-040 Skawina",1997-09-28,3
50,39021578197,Arkadiusz,Leszkiewicz,Mężczyzna,komendant,"plac Stolarska 22/40
20-241 Pruszków",2001-07-26,8
