ID,PESEL,Imię,Nazwisko,Płeć,Adres,Czy_zatrzymany
0,44082102399,Tadeusz,Tokaj,Mężczyzna,"ulica Wojska Polskiego 58
04-367 Lubartow",1
1,44090488225,Ada,Trybus,Kobieta,"ulica Rózana 88
04-128 Żagań",0
2,71102908668,Melania,Ellwart,Kobieta,"plac Wolności 89/36
15-961 Giżycko",1
3,94013113208,Kalina,Buszka,Kobieta,"ul. Topolowa 90/81
96-308 Sieradz",1
4,75120122879,Leon,Duczek,Mężczyzna,"ul. Kolonia 36/18
81-906 Sochaczew",0
5,86110443568,Angelika,Pałac,Kobieta,"aleja Częstochowska 44/14
55-798 Gniezno",1
6,62071603924,Kaja,Wikło,Kobieta,"ul. Chabrowa 362
92-324 Bielawa",1
7,58062267684,Anastazja,Myszor,Kobieta,"ulica Kaliska 43
67-223 Zduńska Wola",1
8,30103106895,Franciszek,Pietrusiak,Mężczyzna,"ulica Żytnia 52
34-319 Zabrze",1
9,28090749959,Artur,Wicha,Mężczyzna,"al. Sienkiewicza 551
55-931 Koszalin",0
10,46052749124,Julita,Zaniewicz,Kobieta,"pl. Kossaka 78/44
78-595 Sopot",1
11,51072060401,Lidia,Karwot,Kobieta,"al. Leszczynowa 400
51-602 Katowice",1
12,27102274052,Maciej,Stanisławczyk,Mężczyzna,"aleja Chełmońskiego 613
02-052 Gniezno",1
13,80122947403,Eliza,Janiuk,Kobieta,"pl. Łąkowa 491
40-425 Bielsk Podlaski",1
14,40040155649,Melania,Niechciał,Kobieta,"pl. Pocztowa 44
12-064 Koszalin",1
15,45122563338,Natan,Klekot,Mężczyzna,"aleja Jagodowa 64/93
20-922 Świebodzice",1
16,5310303061,Marcelina,Olearczyk,Kobieta,"aleja Czereśniowa 476
71-647 Knurów",1
17,25052118400,Lidia,Bejnarowicz,Kobieta,"aleja Lipowa 10
35-662 Sieradz",1
18,82102437704,Eliza,Majzner,Kobieta,"ulica Łąkowa 89
11-919 Malbork",1
19,66111216460,Malwina,Grądziel,Kobieta,"aleja Krokusowa 99
77-309 Bielsko-Biała",1
20,45021496843,Ewa,Litwinowicz,Kobieta,"al. Lazurowa 81
36-045 Lubin",1
21,72012351515,Franciszek,Suszko,Mężczyzna,"al. Drzymały 14
61-234 Bydgoszcz",1
22,32060588295,Kacper,Osial,Mężczyzna,"aleja Jana Sobieskiego 841
88-728 Skierniewice",0
23,261564640,Marika,Kuryłowicz,Kobieta,"pl. Kamienna 310
42-212 Ząbki",0
24,61051788525,Malwina,Mazepa,Kobieta,"ulica Dobra 31/60
62-876 Siemianowice Śląskie",1
25,48050369777,Natan,Wojtasiewicz,Mężczyzna,"plac Wschodnia 517
42-286 Luboń",1
26,50012534040,Marika,Wota,Kobieta,"al. Armii Krajowej 18/01
07-014 Września",0
27,91061177589,Nela,Kurpisz,Kobieta,"ul. Koralowa 14
82-420 Żory",1
